ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,LCSC Assembly,SMT Type,description,image,link,subpart_no
1,1uF,"C1, C2, C6, C8",C0805,4,CC0805KKX7R9BB105,YAGEO(国巨),LCSC,C91185,0.017,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
2,10k,"R2, R3, R6, R15, R16, R17, R18, R19",R0805,8,0805W8F1002T5E,UNI-ROYAL(厚声),LCSC,C17414,0.001,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
3,30k,R9,R0805,1,0805W8F1002T5E,UNI-ROYAL(厚声),LCSC,C17414,0.001,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
4,AP2210K-ADJTRG1,"U1, U8",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,AP2210K-ADJTRG1,Diodes Incorporated,LCSC,C507874,0.125,5,SOT-23-5_L2.9-W1.6-H1.1-LS2.8-P0.95,LCSC,,,,,,https://item.szlcsc.com/236104.html,
5,1N4148W,"D1, D2, D5, D8",SOD-123FL_L2.6-W1.6-LS3.4-RD,4,1N4148W,Tak Cheong,LCSC,C129216,0.02,2,SOD-123FL_L2.8-W1.8-H1.1-LS3.6,LCEDA_Lib,,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20181106/C323857_0FA3C8BFA639C8DE43C1526AE6096176.pdf,
6,X4611WV-04I-C28D40,"H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H13, H17, H19",HDR-TH_4P-P2.00-V-M,14,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.065,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,,,https://item.szlcsc.com/562479.html,
7,68nF,"C12, C32",C0805,2,UMK212B7683KGHT,TAIYO YUDEN(太诱),LCSC,C650955,0.068,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
8,X4611WV-05I-C28D40,"H12, H14, H15, H16, H18",HDR-TH_5P-P2.00-V-M,5,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.065,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,
9,100k,"R1, R4, R7, R8, R10, R12, R14",R0805,7,0805W8F1003T5E,UNI-ROYAL(厚声),LCSC,C149504,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
10,CD40106BM96,U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD40106BM96,TI,LCSC,C38184,0.276,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,winter2015,,Yes,Extend,,//image.lceda.cn/szlcsc/C38184.jpg,https://item.szlcsc.com/7253.html,
